#1.N,2.ctlg,3.ctlg_eps,4.ctlg_perm,5.K,6.alpha0,7.alpha_eps,8.req_eps,9.R_perm,10.hit_opt%,11.hit_unif%,12.improvement%,c2ctlg
2,1000000,0.4,1,10,1,0.4,0,1,34.4162,30.1604,4.2558,1E-5
2,1000000,0.4,1,10,1,0.4,0,2,34.4162,30.1604,4.2558,1E-5
8,10000000,0,1,10,1,0.4,0.2,1,18.8512,14.6006,4.25065,1E-6
4,10000000,0,2,10,1,0.4,0,1,22.4564,18.2141,4.24229,1E-6
4,10000000,0,2,10,1,0.4,0,2,22.4564,18.2141,4.24229,1E-6
8,10000000,0.2,1,10,1,0.4,0.2,1,18.8403,14.6024,4.23796,1E-6
2,100000,0.4,2,10,1,0.2,0.4,1,34.8585,30.6268,4.2317,1E-4
4,100000,0.4,1,10,1,0.4,0,2,24.0813,19.8588,4.22257,1E-4
4,100000,0,2,10,1,0.4,0.2,1,27.5828,23.3653,4.21757,1E-4
4,100000,0.4,1,10000,0.4,0.2,0.4,2,30.9608,26.7461,4.21464,1E-1
8,10000000,0.4,1,10,1,0.4,0.2,1,18.8308,14.6332,4.1976,1E-6
8,100000,0.4,2,10,1,0.4,0.2,1,20.3438,16.1471,4.19667,1E-4
8,10000000,0.2,2,10,1,0.4,0.2,2,14.1135,9.97142,4.14213,1E-6
8,10000000,0,1,10,1,0.4,0,1,16.4266,12.289,4.13753,1E-6
2,100000,0.4,2,10000,0.4,0.2,0.2,1,34.2849,30.1478,4.13709,1E-1
4,10000000,0,2,10,1,0.2,0.4,1,20.0731,15.9482,4.12493,1E-6
2,100000,0.2,2,10,1,0.2,0.4,1,34.6101,30.486,4.12418,1E-4
2,100000,0,1,10000,1,0.4,0,1,72.8972,68.7811,4.11609,1E-1
2,100000,0,1,10000,1,0.4,0,2,72.8972,68.7811,4.11609,1E-1
2,100000,0,2,10000,1,0.4,0,1,72.8972,68.7811,4.11609,1E-1
2,100000,0,2,10000,1,0.4,0,2,72.8972,68.7811,4.11609,1E-1
8,100000,0.2,2,10,1,0.4,0.2,1,20.2882,16.1805,4.10775,1E-4
8,1000000,0,1,10,1,0.4,0,2,16.9528,12.8483,4.10453,1E-5
4,100000,0.4,2,10,1,0.4,0.4,1,31.147,27.0486,4.09834,1E-4
4,10000000,0.4,2,10,1,0.4,0.2,1,26.0538,21.9558,4.09798,1E-6
2,100000,0,1,10000,1,0.2,0.4,2,73.3168,69.2267,4.09001,1E-1
2,100000,0,2,10000,1,0.2,0.4,2,73.3168,69.2267,4.09001,1E-1
4,10000000,0.4,2,10,1,0.4,0,1,22.4843,18.4052,4.07914,1E-6
4,10000000,0,2,10,1,0.4,0.2,1,26.023,21.9551,4.06791,1E-6
2,100000,0,1,10000,0.4,0.4,0.4,1,34.3951,30.3341,4.06102,1E-1
2,100000,0,2,10000,0.4,0.4,0.4,1,34.3951,30.3341,4.06102,1E-1
8,1000000,0.4,2,10,1,0.4,0.2,1,19.3305,15.2705,4.06,1E-5
4,10000000,0,1,10,1,0.4,0,2,22.4564,18.4071,4.04928,1E-6
4,10000000,0.2,2,10,1,0.4,0.2,2,18.9433,14.9022,4.04114,1E-6
4,100000,0.4,1,10000,0.4,0.4,0.4,2,30.2138,26.1733,4.04051,1E-1
4,100000,0,1,10,1,0.4,0.4,1,31.045,27.0122,4.03281,1E-4
