#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
301 8 0 0 0 0 0 0.000996016 0 0 0.00108696 0.000275634
302 6 0 0 0 0.000331675 0.00238095 0.000664011 0 0.000358551 0.000271739 0
303 8 0 0 0.00357143 0.00165837 0 0 0 0.000358551 0 0
304 4 0 0 0 0.000331675 0 0.000664011 0 0.000358551 0 0
305 7 0 0 0 0.000995025 0 0.000664011 0 0 0 0.000551268
306 6 0 0 0 0.000331675 0 0.000664011 0 0 0.000543478 0.000275634
307 4 0 0 0 0.00066335 0 0.000332005 0 0 0 0.000275634
308 14 0 0 0 0.00165837 0 0.000664011 0 0 0.00190217 0
309 4 0 0 0 0 0 0.000332005 0 0.000358551 0.000271739 0.000275634
310 8 0 0 0 0.000995025 0 0.000664011 0 0 0.000271739 0.000551268
311 8 0 0 0 0 0 0.000664011 0 0 0.000543478 0.00110254
312 11 0 0 0 0.000995025 0 0.000332005 0 0.000358551 0.000543478 0.00110254
313 3 0 0 0 0 0 0 0 0.000358551 0.000271739 0.000275634
314 5 0 0 0 0 0 0.000332005 0 0 0.00108696 0
315 6 0 0 0 0.00066335 0 0.000996016 0 0 0.000271739 0
316 12 0 0 0 0.00232172 0 0 0 0.000717103 0.000543478 0.000275634
317 6 0 0 0 0.000331675 0 0 0 0.00107565 0.000271739 0.000275634
318 6 0 0 0 0.000331675 0 0.000664011 0 0.000717103 0.000271739 0
319 5 0 0 0 0 0 0.000332005 0 0.000358551 0.000815217 0
320 2 0 0 0 0 0 0 0 0 0.000271739 0.000275634
321 6 0 0 0 0 0 0.00132802 0 0.000358551 0.000271739 0
322 7 0 0 0 0 0 0.00132802 0 0.000358551 0.000271739 0.000275634
323 9 0 0 0 0.000331675 0 0.000664011 0 0.000358551 0.000543478 0.000826902
324 6 0 0 0 0.000331675 0 0 0 0.00143421 0.000271739 0
325 7 0 0.00714286 0 0 0 0.000332005 0 0.000358551 0.000271739 0.000551268
326 8 0 0 0 0.00066335 0 0.000332005 0 0.000358551 0.00108696 0
327 4 0 0 0 0 0 0 0 0 0.000271739 0.000826902
328 8 0 0 0 0 0 0.000332005 0 0.000358551 0.000271739 0.000826902
329 11 0 0 0 0.000995025 0 0.000332005 0 0.000358551 0.00163043 0
330 5 0 0 0 0 0 0.000332005 0 0 0.00108696 0
331 7 0 0 0 0.000331675 0 0.000332005 0 0.00107565 0.000271739 0.000275634
332 7 0 0 0 0.00066335 0 0.000332005 0 0 0.000271739 0.000826902
333 2 0 0 0 0 0 0 0 0.000358551 0 0.000275634
334 4 0 0 0 0.000331675 0 0 0 0.000358551 0.000271739 0.000275634
335 11 0 0 0 0.00066335 0 0.00199203 0 0.000717103 0 0.000275634
336 6 0 0 0 0 0.00714286 0.000332005 0 0.000358551 0 0.000275634
