#rank	alpha_0_mean	alpha_0_conf	alpha_0.5_mean	alpha_0.5_conf	alpha_0.8_mean	alpha_0.8_conf	alpha_1_mean	alpha_1_conf	alpha_1.2_mean	alpha_1.2_conf	alpha_2_mean	alpha_2_conf
591	1	0	1	0	1	0	1	0	1	0	NaN	NaN
592	1	0	1	0	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
593	1	0	1	0	0.75	0.49	1	0	1	0	NaN	NaN
594	1	0	1	0	0.7142857143	0.3614784456	1	0	1	0	NaN	NaN
595	0.9	0.196	1	0	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
596	1	0	1	0	0.7142857143	0.3614784456	1	0	NaN	NaN	1	0
597	1	0	1	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
598	1	0	0.8571428571	0.28	0.8333333333	0.3266666667	1	0	1	0	2	0
599	1	0	1	0	0.875	0.245	1	0	1	0	NaN	NaN
600	1	0	1	0	0.8	0.392	1	0	1	0	NaN	NaN
601	1	0	1	0	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
602	1	0	1	0	1	0	1	0	1	0	NaN	NaN
603	1	0	1	0	1	0	1	0	1	0	NaN	NaN
604	1	0	1	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
605	1	0	1	0	1	0	1	0	1	0	NaN	NaN
606	1	0	1	0	0.875	0.245	1	0	1	0	NaN	NaN
607	1	0	1	0	1	0	1	0	1	0	NaN	NaN
608	1	0	1	0	1	0	1	0	1	0	NaN	NaN
609	1	0	1	0	0.8571428571	0.28	1	0	NaN	NaN	NaN	NaN
610	1	0	1	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
611	1	0	1	0	0.8	0.392	1	0	1	0	NaN	NaN
612	1	0	1	0	0.875	0.245	1	0	NaN	NaN	NaN	NaN
613	1	0	1	0	1	0	1	0	1	0	NaN	NaN
614	1	0	1	0	1	0	1	0	1	0	NaN	NaN
615	1	0	1	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
616	1	0	1	0	0.875	0.245	1	0	1	0	NaN	NaN
617	1	0	1	0	0.875	0.245	1	0	1	0	NaN	NaN
618	1	0	1	0	1	0	1	0	1	0	NaN	NaN
619	1	0	1	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
620	1	0	1	0	1	0	1	0	1	0	NaN	NaN
621	1	0	1	0	1	0	1	0	1	0	NaN	NaN
622	1	0	0.875	0.245	0.8	0.392	1	0	1	0	NaN	NaN
623	1	0	0.75	0.3207802986	1	0	1	0	NaN	NaN	NaN	NaN
624	0.9	0.196	0.875	0.245	1	0	1	0	1	0	NaN	NaN
625	1	0	0.8888888889	0.2177777778	1	0	1	0	1	0	NaN	NaN
626	1	0	0.8888888889	0.2177777778	1	0	1	0	1	0	NaN	NaN
627	1	0	0.75	0.49	1	0	1	0	1	0	NaN	NaN
628	0.9	0.196	1	0	1	0	1	0	1	0	NaN	NaN
629	1	0	0.8571428571	0.28	1	0	1	0	1	0	NaN	NaN
630	1	0	0.875	0.245	1	0	1	0	1	0	NaN	NaN
631	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
632	1	0	0.75	0.49	0.8571428571	0.28	1	0	1	0	NaN	NaN
633	1	0	1	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
634	1	0	0.9	0.196	0.8888888889	0.2177777778	1	0	1	0	NaN	NaN
635	1	0	1	0	1	0	1	0	NaN	NaN	NaN	NaN
