#1.N 2.ctlg 3.ctlg_eps 4.ctlg_perm 5.K 6.alpha0 7.alpha_eps 8.req_eps 9.R_perm 10.hit_opt% 11.hit_unif% 12.improvement%
2 100000 0.2 1 1e+01 1 0 0 1 20.0768 20.0768 0
2 100000 0.2 1 1e+02 1 0 0 1 39.5619 39.5605 0.00137894
2 100000 0.2 1 1e+03 1 0 0 1 59.7291 59.7277 0.00139604
2 100000 0.2 1 1e+04 1 0 0 1 79.9673 79.9659 0.00139615
2 100000 0.2 1 1e+01 1 0 0 2 20.0768 20.0768 0
2 100000 0.2 1 1e+02 1 0 0 2 39.5619 39.5605 0.00137894
2 100000 0.2 1 1e+03 1 0 0 2 59.7291 59.7277 0.00139604
2 100000 0.2 1 1e+04 1 0 0 2 79.9673 79.9659 0.00139615
2 100000 0.2 2 1e+01 0.4 0.2 0.2 1 0.651502 0.472951 0.178551
2 100000 0.2 2 1e+02 0.4 0.2 0.2 1 2.50206 2.00571 0.496346
2 100000 0.2 2 1e+03 0.4 0.2 0.2 1 8.74407 7.52072 1.22336
2 100000 0.2 2 1e+04 0.4 0.2 0.2 1 29.9939 27.6055 2.38838
2 100000 0.2 2 1e+01 0.4 0.2 0.2 2 0.434335 0.363133 0.0712022
2 100000 0.2 2 1e+02 0.4 0.2 0.2 2 1.71988 1.59554 0.124339
2 100000 0.2 2 1e+03 0.4 0.2 0.2 2 6.39524 6.28846 0.106775
2 100000 0.2 2 1e+04 0.4 0.2 0.2 2 24.5644 24.5465 0.0179063
2 100000 0.2 2 1e+01 0.4 0.2 0.4 1 0.760086 0.52786 0.232226
2 100000 0.2 2 1e+02 0.4 0.2 0.4 1 2.91737 2.21079 0.706577
2 100000 0.2 2 1e+03 0.4 0.2 0.4 1 10.128 8.13684 1.99116
2 100000 0.2 2 1e+04 0.4 0.2 0.4 1 34.2104 29.135 5.07538
2 100000 0.2 2 1e+01 0.4 0.2 0.4 2 0.331625 0.308224 0.023401
2 100000 0.2 2 1e+02 0.4 0.2 0.4 2 1.40488 1.39046 0.0144222
2 100000 0.2 2 1e+03 0.4 0.2 0.4 2 5.69207 5.67233 0.0197384
2 100000 0.2 2 1e+04 0.4 0.2 0.4 2 24.0378 23.017 1.02084
2 100000 0.2 2 1e+01 0.4 0.2 0 1 0.542919 0.418042 0.124877
2 100000 0.2 2 1e+02 0.4 0.2 0 1 2.09753 1.80063 0.296906
2 100000 0.2 2 1e+03 0.4 0.2 0 1 7.4621 6.90459 0.557514
2 100000 0.2 2 1e+04 0.4 0.2 0 1 26.6201 26.076 0.544099
2 100000 0.2 2 1e+01 0.4 0.2 0 2 0.542919 0.418042 0.124877
2 100000 0.2 2 1e+02 0.4 0.2 0 2 2.09753 1.80063 0.296906
2 100000 0.2 2 1e+03 0.4 0.2 0 2 7.4621 6.90459 0.557514
2 100000 0.2 2 1e+04 0.4 0.2 0 2 26.6201 26.076 0.544099
2 100000 0.2 2 1e+01 0.4 0.4 0.2 1 1.17197 0.803096 0.368875
2 100000 0.2 2 1e+02 0.4 0.4 0.2 1 3.90437 2.94948 0.954891
2 100000 0.2 2 1e+03 0.4 0.4 0.2 1 11.4941 9.40542 2.08868
2 100000 0.2 2 1e+04 0.4 0.4 0.2 1 32.7266 29.8203 2.90635
2 100000 0.2 2 1e+01 0.4 0.4 0.2 2 0.781314 0.559148 0.222167
2 100000 0.2 2 1e+02 0.4 0.4 0.2 2 2.60291 2.11508 0.487832
2 100000 0.2 2 1e+03 0.4 0.4 0.2 2 7.75998 7.14275 0.617228
2 100000 0.2 2 1e+04 0.4 0.4 0.2 2 24.9232 24.9197 0.00358843
2 100000 0.2 2 1e+01 0.4 0.4 0.4 1 1.3673 0.925071 0.44223
2 100000 0.2 2 1e+02 0.4 0.4 0.4 1 4.5551 3.36668 1.18842
2 100000 0.2 2 1e+03 0.4 0.4 0.4 1 13.4065 10.5368 2.86972
2 100000 0.2 2 1e+04 0.4 0.4 0.4 1 37.8655 32.2705 5.59492
2 100000 0.2 2 1e+01 0.4 0.4 0.4 2 0.585986 0.437173 0.148812
2 100000 0.2 2 1e+02 0.4 0.4 0.4 2 1.95605 1.69788 0.258163
2 100000 0.2 2 1e+03 0.4 0.4 0.4 2 6.12038 6.01141 0.108974
2 100000 0.2 2 1e+04 0.4 0.4 0.4 2 23.1266 22.4694 0.657269
2 100000 0.2 2 1e+01 0.4 0.4 0 1 0.976643 0.681122 0.295521
2 100000 0.2 2 1e+02 0.4 0.4 0 1 3.25364 2.53228 0.721362
2 100000 0.2 2 1e+03 0.4 0.4 0 1 9.59724 8.27409 1.32316
2 100000 0.2 2 1e+04 0.4 0.4 0 1 28.218 27.37 0.84804
2 100000 0.2 2 1e+01 0.4 0.4 0 2 0.976643 0.681122 0.295521
2 100000 0.2 2 1e+02 0.4 0.4 0 2 3.25364 2.53228 0.721362
2 100000 0.2 2 1e+03 0.4 0.4 0 2 9.59724 8.27409 1.32316
2 100000 0.2 2 1e+04 0.4 0.4 0 2 28.218 27.37 0.84804
2 100000 0.2 2 1e+01 0.4 0 0.2 1 0.363652 0.33301 0.0306419
2 100000 0.2 2 1e+02 0.4 0 0.2 1 1.67577 1.55925 0.116513
2 100000 0.2 2 1e+03 0.4 0 0.2 1 6.95497 6.49361 0.461351
2 100000 0.2 2 1e+04 0.4 0 0.2 1 27.9947 26.1591 1.83569
2 100000 0.2 2 1e+01 0.4 0 0.2 2 0.319288 0.317252 0.00203601
2 100000 0.2 2 1e+02 0.4 0 0.2 2 1.49321 1.48547 0.00774536
2 100000 0.2 2 1e+03 0.4 0 0.2 2 6.21701 6.18633 0.0306708
2 100000 0.2 2 1e+04 0.4 0 0.2 2 25.0432 24.9212 0.122037
2 100000 0.2 2 1e+01 0.4 0 0.4 1 0.415192 0.340889 0.0743025
2 100000 0.2 2 1e+02 0.4 0 0.4 1 1.87549 1.59614 0.279349
2 100000 0.2 2 1e+03 0.4 0 0.4 1 7.75345 6.64725 1.10619
2 100000 0.2 2 1e+04 0.4 0 0.4 1 31.1794 26.778 4.40146
2 100000 0.2 2 1e+01 0.4 0 0.4 2 0.33394 0.309373 0.0245668
2 100000 0.2 2 1e+02 0.4 0 0.4 2 1.54371 1.44858 0.095138
2 100000 0.2 2 1e+03 0.4 0 0.4 2 6.40942 6.03269 0.376728
2 100000 0.2 2 1e+04 0.4 0 0.4 2 25.8012 24.3023 1.49897
2 100000 0.2 2 1e+01 0.4 0 0 1 0.329584 0.325131 0.00445242
2 100000 0.2 2 1e+02 0.4 0 0 1 1.54013 1.52236 0.0177718
2 100000 0.2 2 1e+03 0.4 0 0 1 6.41035 6.33997 0.0703716
2 100000 0.2 2 1e+04 0.4 0 0 1 25.8201 25.5401 0.280004
2 100000 0.2 2 1e+01 0.4 0 0 2 0.329584 0.325131 0.00445242
2 100000 0.2 2 1e+02 0.4 0 0 2 1.54013 1.52236 0.0177718
2 100000 0.2 2 1e+03 0.4 0 0 2 6.41035 6.33997 0.0703716
2 100000 0.2 2 1e+04 0.4 0 0 2 25.8201 25.5401 0.280004
2 100000 0.2 2 1e+01 0.7 0.2 0.2 1 7.23377 5.77507 1.4587
2 100000 0.2 2 1e+02 0.7 0.2 0.2 1 15.8274 14.2772 1.5502
2 100000 0.2 2 1e+03 0.7 0.2 0.2 1 29.535 28.3653 1.16971
2 100000 0.2 2 1e+04 0.7 0.2 0.2 1 53.1348 52.8605 0.274358
2 100000 0.2 2 1e+01 0.7 0.2 0.2 2 4.82855 4.20964 0.618912
2 100000 0.2 2 1e+02 0.7 0.2 0.2 2 11.2097 10.8045 0.40524
2 100000 0.2 2 1e+03 0.7 0.2 0.2 2 22.8245 22.7904 0.0340195
2 100000 0.2 2 1e+04 0.7 0.2 0.2 2 46.8446 46.2764 0.568186
2 100000 0.2 2 1e+01 0.7 0.2 0.4 1 8.4394 6.55778 1.88162
2 100000 0.2 2 1e+02 0.7 0.2 0.4 1 18.2942 16.0135 2.28072
2 100000 0.2 2 1e+03 0.7 0.2 0.4 1 33.3994 31.1527 2.24674
2 100000 0.2 2 1e+04 0.7 0.2 0.4 1 57.5357 56.1525 1.38318
2 100000 0.2 2 1e+01 0.7 0.2 0.4 2 3.70883 3.42692 0.281912
2 100000 0.2 2 1e+02 0.7 0.2 0.4 2 9.14667 9.06814 0.0785362
2 100000 0.2 2 1e+03 0.7 0.2 0.4 2 20.0926 20.003 0.0895534
2 100000 0.2 2 1e+04 0.7 0.2 0.4 2 44.9068 42.9844 1.92241
2 100000 0.2 2 1e+01 0.7 0.2 0 1 6.02814 4.99235 1.03579
2 100000 0.2 2 1e+02 0.7 0.2 0 1 13.4544 12.5408 0.91363
2 100000 0.2 2 1e+03 0.7 0.2 0 1 25.9923 25.5779 0.414443
2 100000 0.2 2 1e+04 0.7 0.2 0 1 49.5826 49.5685 0.0141057
2 100000 0.2 2 1e+01 0.7 0.2 0 2 6.02814 4.99235 1.03579
2 100000 0.2 2 1e+02 0.7 0.2 0 2 13.4544 12.5408 0.91363
2 100000 0.2 2 1e+03 0.7 0.2 0 2 25.9923 25.5779 0.414443
2 100000 0.2 2 1e+04 0.7 0.2 0 2 49.5826 49.5685 0.0141057
