#1e3_noboost	1e6_noboost	1e3_boost	1e6_boost
0.60546	0.63871	0.70000	0.70000
0.60654	0.63897	0.60000	0.80000
0.60716	0.63918	0.70000	0.70000
0.60688	0.63940	0.60000	0.60000
0.60762	0.63959	0.50000	0.70000
0.60801	0.63979	0.40000	0.80000
0.60812	0.64004	0.50000	0.70000
0.60814	0.64026	0.60000	0.60000
0.60880	0.64049	0.50000	0.70000
0.60916	0.64072	0.40000	0.60000
0.60940	0.64095	0.50000	0.70000
0.60942	0.64117	0.60000	0.80000
0.60986	0.64140	0.70000	0.70000
0.61028	0.64162	0.80000	0.60000
0.60944	0.64185	0.70000	0.70000
0.60975	0.64205	0.60000	0.60000
0.60999	0.64228	0.50000	0.50000
0.61033	0.64250	0.60000	0.60000
0.61050	0.64276	0.70000	0.70000
0.61033	0.64300	0.80000	0.80000
0.61146	0.64322	0.70000	0.70000
0.61199	0.64346	0.80000	0.60000
0.61221	0.64369	0.90000	0.70000
0.61195	0.64391	0.80000	0.80000
0.61192	0.64411	0.90000	0.70000
0.61281	0.64432	0.90000	0.60000
0.61246	0.64454	0.90000	0.70000
0.61285	0.64478	0.90000	0.60000
0.61216	0.64498	0.90000	0.70000
0.61254	0.64519	0.90000	0.80000
0.61296	0.64539	0.90000	0.70000
0.61355	0.64561	0.80000	0.60000
0.61459	0.64581	0.70000	0.70000
0.61522	0.64603	0.80000	0.80000
0.61529	0.64625	0.90000	0.70000
0.61545	0.64647	0.80000	0.60000
0.61600	0.64672	0.70000	0.70000
0.61612	0.64695	0.60000	0.80000
0.61666	0.64717	0.50000	0.70000
0.61640	0.64741	0.40000	0.60000
0.61695	0.64766	0.50000	0.50000
0.61729	0.64788	0.60000	0.60000
0.61835	0.64811	0.50000	0.70000
0.61823	0.64834	0.60000	0.80000
0.61879	0.64857	0.70000	0.70000
0.61912	0.64881	0.80000	0.60000
0.62007	0.64905	0.90000	0.70000
0.62061	0.64928	0.80000	0.80000
0.62058	0.64950	0.90000	0.70000
0.62066	0.64974	0.80000	0.60000
0.62073	0.64996	0.70000	0.70000
0.62160	0.65021	0.80000	0.60000
0.62225	0.65021	0.90000	0.50000
0.62267	0.65022	0.90000	0.60000
0.62283	0.65024	0.80000	0.70000
0.62310	0.65026	0.70000	0.80000
0.62339	0.65025	0.80000	0.70000
0.62359	0.65027	0.70000	0.60000
0.62405	0.65027	0.60000	0.70000
0.62418	0.65027	0.50000	0.60000
0.62444	0.65027	0.60000	0.70000
0.62479	0.65027	0.50000	0.80000
0.62612	0.65029	0.60000	0.70000
0.62619	0.65030	0.70000	0.60000
0.62570	0.65025	0.60000	0.70000
0.62582	0.65026	0.50000	0.80000
0.62563	0.65026	0.60000	0.70000
0.62555	0.65027	0.70000	0.60000
0.62597	0.65029	0.60000	0.70000
0.62633	0.65029	0.50000	0.80000
0.62635	0.65028	0.60000	0.70000
0.62723	0.65028	0.70000	0.60000
0.62788	0.65028	0.80000	0.70000
0.62923	0.65030	0.70000	0.80000
0.62860	0.65031	0.80000	0.70000
0.62897	0.65032	0.70000	0.60000
0.62915	0.65032	0.60000	0.70000
0.62984	0.65031	0.70000	0.80000
0.63050	0.65031	0.80000	0.70000
0.63049	0.65032	0.70000	0.60000
0.63037	0.65031	0.60000	0.50000
0.63107	0.65031	0.70000	0.60000
0.63103	0.65032	0.80000	0.70000
0.63069	0.65034	0.70000	0.80000
0.63040	0.65035	0.80000	0.70000
0.63087	0.65032	0.90000	0.60000
0.63094	0.65032	0.80000	0.70000
0.63151	0.65034	0.70000	0.80000
0.63182	0.65033	0.80000	0.70000
0.63133	0.65031	0.90000	0.60000
0.63192	0.65030	0.80000	0.70000
0.63295	0.65032	0.70000	0.80000
0.63371	0.65032	0.60000	0.70000
0.63344	0.65031	0.50000	0.60000
0.63342	0.65031	0.60000	0.70000
0.63420	0.65032	0.70000	0.80000
0.63523	0.65035	0.60000	0.70000
0.63541	0.65035	0.50000	0.60000
0.63574	0.65034	0.60000	0.50000
0.63594	0.65032	0.70000	0.60000
0.63710	0.65034	0.60000	0.70000
0.63648	0.65033	0.50000	0.80000
0.63566	0.65031	0.60000	0.70000
0.63612	0.65032	0.70000	0.60000
0.63622	0.65032	0.80000	0.70000
0.63749	0.65033	0.90000	0.80000
0.63808	0.65036	0.80000	0.70000
0.63893	0.65035	0.90000	0.60000
0.63835	0.65034	0.80000	0.70000
0.63802	0.65034	0.70000	0.80000
0.63728	0.65037	0.80000	0.70000
0.63696	0.65039	0.70000	0.60000
0.63781	0.65039	0.60000	0.70000
0.63877	0.65039	0.70000	0.80000
0.63887	0.65040	0.60000	0.70000
0.63921	0.65040	0.50000	0.60000
0.63966	0.65043	0.60000	0.70000
0.64037	0.65043	0.70000	0.80000
0.64126	0.65044	0.80000	0.70000
0.64187	0.65046	0.70000	0.60000
0.64139	0.65046	0.60000	0.70000
0.64176	0.65047	0.50000	0.60000
0.64265	0.65048	0.60000	0.70000
0.64328	0.65045	0.70000	0.80000
0.64355	0.65045	0.80000	0.70000
0.64345	0.65046	0.90000	0.60000
0.64404	0.65044	0.80000	0.70000
0.64518	0.65044	0.90000	0.80000
0.64584	0.65044	0.80000	0.70000
0.64583	0.65046	0.70000	0.60000
0.64607	0.65047	0.60000	0.70000
0.64632	0.65047	0.50000	0.80000
0.64628	0.65048	0.60000	0.70000
0.64724	0.65048	0.70000	0.60000
0.64746	0.65050	0.80000	0.70000
0.64829	0.65052	0.70000	0.80000
0.64810	0.65049	0.60000	0.70000
0.64844	0.65050	0.70000	0.60000
0.64856	0.65052	0.80000	0.70000
0.64878	0.65051	0.70000	0.80000
0.64836	0.65050	0.60000	0.70000
0.64888	0.65050	0.70000	0.60000
0.64859	0.65047	0.80000	0.70000
0.64886	0.65044	0.70000	0.80000
0.64878	0.65041	0.80000	0.70000
0.64872	0.65042	0.70000	0.60000
0.64880	0.65043	0.60000	0.70000
0.64912	0.65044	0.50000	0.80000
0.64904	0.65045	0.60000	0.70000
0.64955	0.65049	0.70000	0.60000
0.65030	0.65048	0.60000	0.70000
0.64983	0.65050	0.50000	0.80000
0.65039	0.65050	0.60000	0.70000
0.65095	0.65049	0.70000	0.60000
0.65159	0.65051	0.80000	0.70000
0.65297	0.65053	0.90000	0.80000
0.65299	0.65054	0.80000	0.70000
0.65349	0.65056	0.70000	0.60000
