#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
411 4 0 0 0 0 0 0 0 0 0 0 0
412 6 0 0 0 0 0 0 0 0 0 0 0
413 8 0 0 0 0 0 0 0 0 0 0 0
414 6 0 0 0 0 0 0 0 0 0 0 0
415 10 0 0 0 0 0 0 0 0 0 0 0
416 1 0 0 0 0 0 0 0 0 0 0 0
417 7 0 0 0 0 0 0 0 0 0 0 0
418 4 0 0 0 0 0 0 0 0 0 0 0
419 5 0 0 0 0 0 0 0 0 0 0 0
420 7 0 0 0 0 0 0 0 0 0 0 0
421 6 0 0 0 0 0 0 0 0 0 0 0
422 9 0 0 0 0 0 0 0 0 0 0 0
423 6 0 0 0 0 0 0 0 0 0 0 0
424 3 0 0 0 0 0 0 0 0 0 0 0
425 5 0 0 0 0 0 0 0 0 0 0 0
426 3 0 0 0 0 0 0 0 0 0 0 0
427 9 0 0 0 0 0 0 0 0 0 0 0
428 4 0 0 0 0 0 0 0 0 0 0 0
429 6 0 0 0 0 0 0 0 0 0 0 0
430 4 0 0 0 0 0 0 0 0 0 0 0
431 7 0 0 0 0 0 0 0 0 0 0 0
432 6 0 0 0 0 0 0 0 0 0 0 0
433 5 0 0 0 0 0 0 0 0 0 0 0
434 7 0 0 0 0 0 0 0 0 0 0 0
435 7 0 0 0 0 0 0 0 0 0 0 0
436 4 0 0 0 0 0 0 0 0 0 0 0
437 4 0 0 0 0 0 0 0 0 0 0 0
438 5 0 0 0 0 0 0 0 0 0 0 0
439 3 0 0 0 0 0 0 0 0 0 0 0
440 11 0 0 0 0 0 0 0 0 0 0 0
441 3 0 0 0 0 0 0 0 0 0 0 0
442 1 0 0 0 0 0 0 0 0 0 0 0
443 7 0 0 0 0 0 0 0 0 0 0 0
444 6 0 0 0 0 0 0 0 0 0 0 0
445 5 0 0 0 0 0 0 0 0 0 0 0
446 3 0 0 0 0 0 0 0 0 0 0 0
447 6 0 0 0 0 0 0 0 0 0 0 0
448 2 0 0 0 0 0 0 0 0 0 0 0
449 3 0 0 0 0 0 0 0 0 0 0 0
450 4 0 0 0 0 0 0 0 0 0 0 0
451 5 0 0 0 0 0 0 0 0 0 0 0
452 6 0 0 0 0 0 0 0 0 0 0 0
453 2 0 0 0 0 0 0 0 0 0 0 0
454 6 0 0 0 0 0 0 0 0 0 0 0
455 10 0 0 0 0 0 0 0 0 0 0 0
456 3 0 0 0 0 0 0 0 0 0 0 0
457 7 0 0 0 0 0 0 0 0 0 0 0
458 5 0 0 0 0 0 0 0 0 0 0 0
459 6 0 0 0 0 0 0 0 0 0 0 0
460 8 0 0 0 0 0 0 0 0 0 0 0
461 5 0 0 0 0 0 0 0 0 0 0 0
462 3 0 0 0 0 0 0 0 0 0 0 0
463 5 0 0 0 0 0 0 0 0 0 0 0
464 5 0 0 0 0 0 0 0 0 0 0 0
465 9 0 0 0 0 0 0 0 0 0 0 0
466 10 0 0 0 0 0 0 0 0 0 0 0
467 2 0 0 0 0 0 0 0 0 0 0 0
468 3 0 0 0 0 0 0 0 0 0 0 0
469 4 0 0 0 0 0 0 0 0 0 0 0
470 3 0 0 0 0 0 0 0 0 0 0 0
471 3 0 0 0 0 0 0 0 0 0 0 0
472 6 0 0 0 0 0 0 0 0 0 0 0
473 4 0 0 0 0 0 0 0 0 0 0 0
474 0 0 0 0 0 0 0 0 0 0 0 0
475 3 0 0 0 0 0 0 0 0 0 0 0
476 4 0 0 0 0 0 0 0 0 0 0 0
477 3 0 0 0 0 0 0 0 0 0 0 0
478 2 0 0 0 0 0 0 0 0 0 0 0
479 4 0 0 0 0 0 0 0 0 0 0 0
